symbol	kidney_biopsy
KIAA2013	534
PLOD1	364
MIIP	20
MIR6729	0
RN7SL649P	0
TNFRSF8	0
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RBBP4	150
SYNC	0
KIAA1522	186
S100PBP	62
FNDC5	4
HPCA	1
TMEM54	16
UFC1	717
PPOX	17
B4GALT3	151
ADAMTS4	308
FCER1G	36
APOA2	1
TOMM40L	0
MIR5187	0
NR1I3	0
PCP4L1	0
CFAP126	4
RRM2P2	1
RNU6-481P	0
RN7SL261P	1
GJA5	79
GJA8	0
GPR89B	171
LINC02804	6
RNU1-129P	0
RNVU1-7	1
PDE4DIPP1	0
PFN1P4	0
ABHD17AP1	0
RNU6-1211P	0
LINC01745	0
LINC01744	2
RNU6-809P	0
ROR1-AS1	4
MFN2	358
TMCO2	1
ZMPSTE24	319
COL9A2	4
ZFP69B	3
MPZ	16
MTFR1L	162
AUNIP	7
PAQR7	81
STMN1	330
SNRPFP2	0
MIR3917	0
RNU6-369P	0
RNF220	129
MIR5584	0
TMEM53	43
ARMH1	0
RNU5F-1	0
RNU5D-1	0
KIF2C	2
RPS8	4755
SNORD55	0
SNORD46	4
SNORD38A	0
SNORD38B	0
RPS15AP11	0
BEST4	2
PLK3	17
PTCH2	7
RNU5E-6P	0
EIF2B3	28
RNA5SP47	0
CCNB1IP1P1	12
PPIAP35	0
MRPS17P1	12
HECTD3	24
UROD	114
OSTCP5	0
NOL9	118
TAS1R1	0
ZBTB48	6
LRRC8C	30
ZBTB40-IT1	2
EPHA8	0
MIR6127	1
MIR4684	0
LGALS8-AS1	0
HEATR1	43
RPSAP21	13
RPL35P1	133
MT1HL1	19
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
RPEP3	0
STX12	315
RNU6-1245P	0
PPP1R8	195
SCARNA1	0
THEMIS2	22
RPA2	113
PDE4DIPP9	0
MIR3675	0
RNU1-5P	0
RNU1-2	0
MFAP2	0
ATP13A2	16
SDHB	758
PADI2	25
LINC02783	0
PADI1	1
PADI3	0
MIR3972	0
SNORD81	0
CCN1	4094
CICP13	0
RNU6-791P	0
HHIPL2	1
TAF1A	11
TAF1A-AS1	3
MIA3	359
AIDA	19
BROX	640
NDUFB1P2	3
TLR5	28
ERMAP	23
ZNF691	10
MKRN8P	0
ATP6V1E1P1	45
ATP6V0CP4	0
RNU6-880P	0
DISP1	90
HAUS4P1	0
GORAB-AS1	0
GAPDHP58	0
HSD3B1	4
GAPDHP32	0
HSD3BP3	0
GAPDHP27	0
HSD3BP4	0
GAPDHP33	1
LINC00622	3
HSD3BP5	0
ZNF697	172
HMGCS2	31
REG4	0
NBPF7P	0
PFN1P9	1
NOTCH2P1	0
ADAM30	0
PHGDH	128
INSRR	1
RN7SL831P	0
NDUFS5P2	0
RPL7P9	307
RN7SKP270	0
NGF-AS1	0
LRRC47	474
RN7SL574P	0
TBCE	15
RPS21P1	0
MTCYBP14	0
MTND6P14	0
MTND5P19	0
MTND4P10	0
MTND4LP21	0
MTND3P8	0
MTCO3P46	0
DENND4B	48
CRTC2	94
MIR6737	0
CREB3L4	3
JTB	529
RAB13	493
RPS27	1077
RNU6-179P	0
RPS7P2	2
MIR5698	0
C1orf52	257
BCL10-AS1	22
CEP104	346
DFFB	52
OR13Z1P	0
OR13Z2P	0
OR13Z3P	1
ACP6	52
RN7SL654P	0
C1orf21-DT	0
C1orf21	95
LINC01355	37
ZNF436	66
TCEA3	138
B3GALNT2	173
MRPL57P1	0
HSPA6	6861
RPS23P10	0
HSPA7	62
RPS23P9	0
RPL31P11	206
PROK1	0
CYMP	0
CYMP-AS1	0
KCNA10	0
NRBF2P3	7
OR11I1P	0
KCNA2	1
LINC02774	0
RN7SL148P	0
RUSC1-AS1	6
MIR555	0
RNU6-106P	2
ASH1L-IT1	0
RNU6-1297P	1
POU5F1P4	0
DAP3P1	0
FDPS	2
GPSM2	43
RN7SKP247	0
DYNLT4	0
RNU1-114P	0
RNVU1-17	4
RNVU1-23	0
RNVU1-18	0
FAM91A3P	0
LINC02591	1
RNU1-143P	0
PDE4DIPP3	0
FCGR1CP	17
RPL22P5	0
SRGAP2D	7
IGKV1OR1-1	0
KCNK2	2
RO60	408
CASQ2	8
SYT6	19
TSACC	3
CFAP57	19
EBNA1BP2	328
WARS2	168
PACC1	33
FAM76A	51
GLRX2	248
USP33	583
PUM1	1090
TNFRSF25	22
RCOR3	242
CFAP276	1
ZCCHC17	150
POGK	153
PAQR6	20
RGL1	207
HAO2	456
ITGB3BP	49
TRIM63	14
KCNC4	42
MEAF6	233
C1orf232	0
PPT1	343
PLEKHG5	1
ENO1P1	0
LGALS8	198
SZT2-AS1	0
MIR6735	0
HYI-AS1	1
MRPL20	51
RN7SL657P	0
MRPL20-DT	1
ANKRD65-AS1	0
LINC01770	0
VWA1	22
ATAD3C	26
ACTG1P4	0
AMYP1	0
NUP133-DT	1
ABCB10	8
RNU4-21P	1
RNA5SP78	0
HMGN2P19	0
URB2	30
HMGB1P26	0
RNF186	112
RNF186-AS1	12
OTUD3	90
PLA2G2E	0
RN7SL304P	0
OR2M7	0
OR14C36	0
MKNK1-AS1	0
KNCN	0
