symbol	UMK1_con_1	UMK1_con_2	UMK1_PAN_1	UMK1_PAN_2	SPH_1	SPH_2
SOAT1	10.0390438393127	10.083724429786	10.4303565178573	10.3147531472353	10.2511680755586	10.3273480465465
AXDND1	5.74325175853901	6.18179213597674	6.20185745343456	6.01489048600068	6.21400756634808	6.14332466971029
TDRD5	3.25920038045295	2.88059092303579	4.21375925179779	3.44877024466174	3.46556980394262	3.34522586604827
RP11-12M5.1	4.6185729489431	4.7929056284502	4.42135061720559	3.82464172400227	4.36313085860022	3.88479411046453
FAM163A	7.08885690778364	7.25159189513075	6.61485146822901	7.04244204130361	6.41152728432754	6.4910658708312
TOR1AIP1	10.3079294163689	10.4587033907425	10.8981029682057	11.1202508283621	10.1876104855209	10.4557260141573
CEP350	9.06964796147773	9.01023286715494	8.83361500529507	8.76480521891239	9.16735145221125	9.50071666499201
QSOX1	9.41640507888265	9.45767524364777	9.69587969048973	9.76460869707416	8.95958594332755	8.89090372124389
LHX4	5.95134814211664	5.97995164197376	6.08952412722829	6.22671107363892	6.27529715476957	6.56754047693835
XPR1	12.4095106083828	12.4106399591288	12.0377571843426	12.015575726596	12.2198248064467	12.2214475437131
KIAA1614	7.87568583450417	7.73668301658298	7.74629057001784	7.47007432048569	7.76151257896181	7.79934114112463
MR1	5.40138106323761	5.18556630544983	5.63644392984308	5.93866163916556	5.46779992528586	5.36922807849241
CACNA1E	7.30423027680873	7.30874856677413	6.79321993097522	6.63238749443968	6.95224343218544	7.06330570488775
LINC00272	4.11230414828268	4.04230049898176	4.21935094454791	4.30708975761393	4.18823908138267	3.94523942473071
RGSL1	3.77723891897747	3.63350316172494	3.83770023183759	3.49282937435557	3.82115068639495	3.79425361091692
NPL	5.33654463464961	5.65860336779739	6.25674134591136	6.14947988745695	5.51509574628701	5.72900860394668
DHX9	10.3905365531543	10.4500958577062	10.5251721896508	10.3444740671922	10.420001934244	10.4905908451686
LAMC1	10.1516293233735	10.3373030537055	10.1059316742391	10.1048853631251	10.1029129123994	10.2704773699254
LAMC2	7.78292245108239	7.79634713717991	8.60991447636737	8.55511169254575	8.02265898064962	7.94054397612544
SMG7	10.741528379049	10.5698660410693	10.7492884877483	10.7195031768065	10.5917147555112	10.7612972613946
RGL1	9.89963865029843	9.8122277441789	9.76770176135661	9.71900289318151	9.68615550157771	9.86255621467341
TSEN15	8.17141325957662	8.08715139736227	8.19493053188284	8.11843428524145	8.23788143762511	8.49614113639136
C1orf21	10.5223927585836	10.7050258062672	9.85421472391612	9.92911398681749	10.7310295360284	10.9207231338297
RNF2	10.8847211019141	10.985508833483	11.0706079778156	11.0687111016462	10.7861851398349	10.9730087619819
SWT1	6.25294914378535	6.08283002126449	6.7579352776396	6.53474853012533	6.13797154841771	6.51586962522999
HMCN1	7.7051683643838	7.31477113609062	6.65688355870155	6.55272579269768	7.53536495935572	7.9833960983414
PRG4	4.94305417582259	4.42281668149363	4.87073260745193	4.6933940049694	4.55027261914691	4.5633165495149
C1orf27	9.25331230938749	9.38066586987695	9.55482948120018	9.70107029572426	9.57279526138777	9.50233660900129
OCLM	3.33752286510533	4.04691017871431	4.40597870970171	4.23720235786559	6.07878397146293	6.24731974418121
PLA2G4A	7.43353701045215	7.09293317342415	6.89878027829578	6.70833234978201	6.75586002601562	6.43719246850222
RGS18	3.5545838447278	3.38825470096537	3.3780566493881	3.66613508054918	3.38209092848197	3.64908560770133
RGS21	4.23778769860567	4.52198662428275	4.18122372859438	4.29536670718598	4.1424042913897	4.13516218628847
RGS1	3.3391238090505	3.20594052507596	3.19436499954843	3.20287862522799	4.07186423253978	3.86996413975187
RGS13	4.12725180472597	4.00599489077777	4.35175968894279	4.05511858950651	4.68176342181086	5.14330797512287
RGS2	10.128404575398	10.1231127788161	10.0469354678485	9.96315827714474	9.20309585192833	9.3292667160712
TROVE2	10.7830652471356	10.8848432902705	11.2183582957083	11.2739478041361	11.1406470535321	11.2594008238116
CDC73	9.97715741835551	10.1573736100194	10.0432084254337	9.955714069109	10.0193794990166	10.0390336569959
CFH	7.59771097687017	7.41573628900121	8.44629676209256	8.12903792961938	4.94824418353471	5.43354863807131
CFHR3	4.80366942355701	4.69858209203369	4.84683317811664	4.68722363650703	4.28607337556702	4.74565233817222
CFHR4	3.3404321759511	3.44571492485566	3.84109366654725	3.38901864971575	3.80082886109282	3.60062579794695
CFHR5	3.00555353608735	3.30819318698054	2.84738671010357	3.24003860512798	2.99186997294237	3.19502708640468
CRB1	8.17217687137279	7.95324249509721	6.26806289782633	6.88364161230569	7.48399009747116	7.68932887081299
C1orf53	6.2419354606696	6.65988957170576	6.20450069973376	6.5772177369536	6.83419941991107	6.5959691239451
LHX9	9.32964890734863	9.28367866612414	9.2256781970665	9.3526798981151	10.4831875701994	10.5171202748046
NEK7	9.57237500369961	9.59135814162536	9.41116707839116	9.35462135218875	9.72771635327259	9.87482041242331
PTPRC	3.62158643818297	3.86343707296256	3.77500662448724	3.57598305418768	3.96595230925417	4.14895200407284
NR5A2	5.97808359973976	6.55715386749269	6.21078606908885	5.81550493865247	5.61696034021024	6.22129869566626
